"","GENDER","RACE","AGE","CRF","BMI","Risk","Range_upper","Range_lower"
"1599","M","B",75,"2",35,4.8,3,6.9
"1600","M","B",75,"3",35,7.2,4.3,11
"1601","M","B",75,"4",35,11,6.6,16
"1602","M","B",75,"5",35,16,12,22
"1603","M","B",75,"6",35,24,NA,NA
"1604","M","B",75,"0",40,1.9,NA,NA
"1605","M","B",75,"1",40,2.7,1.9,3.4
"1606","M","B",75,"2",40,3.9,2.4,5.6
"1607","M","B",75,"3",40,5.9,3.5,8.6
"1608","M","B",75,"4",40,8.8,5.3,13
"1609","M","B",75,"5",40,13,9.4,18
"1610","M","B",75,"6",40,20,NA,NA
"1611","M","B",75,"0",45,1.6,NA,NA
"1612","M","B",75,"1",45,2.2,1.6,2.8
"1613","M","B",75,"2",45,3.2,2,4.6
"1614","M","B",75,"3",45,4.8,2.9,7
"1615","M","B",75,"4",45,7.1,4.3,11
"1616","M","B",75,"5",45,11,7.6,14
"1617","M","B",75,"6",45,16,NA,NA
"1618","M","B",80,"0",15,5,NA,NA
"1619","M","B",80,"1",15,8,5.4,13
"1620","M","B",80,"2",15,12,7.4,20
"1621","M","B",80,"3",15,19,10,29
"1622","M","B",80,"4",15,27,16,37
"1623","M","B",80,"5",15,37,24,45
"1624","M","B",80,"6",15,47,NA,NA
"1625","M","B",80,"0",20,4.6,NA,NA
"1626","M","B",80,"1",20,7.2,5,11
"1627","M","B",80,"2",20,11,6.9,17
"1628","M","B",80,"3",20,17,9.8,25
"1629","M","B",80,"4",20,25,15,34
"1630","M","B",80,"5",20,34,22,43
"1631","M","B",80,"6",20,45,NA,NA
"1632","M","B",80,"0",25,4.3,NA,NA
"1633","M","B",80,"1",25,6.5,4.6,8.8
"1634","M","B",80,"2",25,9.9,6.2,14
"1635","M","B",80,"3",25,15,9.1,21
"1636","M","B",80,"4",25,22,14,30
"1637","M","B",80,"5",25,31,21,39
"1638","M","B",80,"6",25,42,NA,NA
"1639","M","B",80,"0",30,3.5,NA,NA
"1640","M","B",80,"1",30,5.3,3.8,7
"1641","M","B",80,"2",30,8,5,11
"1642","M","B",80,"3",30,12,7.3,17
"1643","M","B",80,"4",30,18,11,25
"1644","M","B",80,"5",30,26,17,33
"1645","M","B",80,"6",30,36,NA,NA
"1646","M","B",80,"0",35,2.9,NA,NA
"1647","M","B",80,"1",35,4.3,3.1,5.6
"1648","M","B",80,"2",35,6.5,4.1,9
"1649","M","B",80,"3",35,9.7,5.9,14
"1650","M","B",80,"4",35,14,9,21
"1651","M","B",80,"5",35,21,14,27
"1652","M","B",80,"6",35,30,NA,NA
"1653","M","B",80,"0",40,2.4,NA,NA
"1654","M","B",80,"1",40,3.5,2.5,4.5
"1655","M","B",80,"2",40,5.2,3.3,7.3
"1656","M","B",80,"3",40,7.8,4.7,11
"1657","M","B",80,"4",40,12,7.2,17
"1658","M","B",80,"5",40,17,11,22
"1659","M","B",80,"6",40,24,NA,NA
"1660","M","B",80,"0",45,2,NA,NA
"1661","M","B",80,"1",45,2.9,2,3.6
"1662","M","B",80,"2",45,4.3,2.7,5.9
"1663","M","B",80,"3",45,6.3,3.8,9.1
"1664","M","B",80,"4",45,9.3,5.7,13
"1665","M","B",80,"5",45,14,9.3,18
"1666","M","B",80,"6",45,20,NA,NA
"1667","M","B",85,"0",15,6.3,NA,NA
"1668","M","B",85,"1",15,10,7,17
"1669","M","B",85,"2",15,16,9.9,26
"1670","M","B",85,"3",15,24,14,36
"1671","M","B",85,"4",15,34,20,45
"1672","M","B",85,"5",15,45,30,54
"1673","M","B",85,"6",15,56,NA,NA
"1674","M","B",85,"0",20,5.6,NA,NA
"1675","M","B",85,"1",20,9,6.2,14
"1676","M","B",85,"2",20,14,8.7,22
"1677","M","B",85,"3",20,21,13,31
"1678","M","B",85,"4",20,31,19,41
"1679","M","B",85,"5",20,42,28,51
"1680","M","B",85,"6",20,53,NA,NA
"1681","M","B",85,"0",25,5.1,NA,NA
"1682","M","B",85,"1",25,7.8,5.5,11
"1683","M","B",85,"2",25,12,7.5,17
"1684","M","B",85,"3",25,18,11,26
"1685","M","B",85,"4",25,27,17,37
"1686","M","B",85,"5",25,38,26,46
"1687","M","B",85,"6",25,50,NA,NA
"1688","M","B",85,"0",30,4.1,NA,NA
"1689","M","B",85,"1",30,6.3,4.5,8.7
"1690","M","B",85,"2",30,9.7,6.1,14
"1691","M","B",85,"3",30,15,9,21
"1692","M","B",85,"4",30,22,14,30
"1693","M","B",85,"5",30,32,21,39
